camera_id,recorder_id,channel_ref,display_name_claim,enabled_claim,online_claim,status_claim
cam-nvr-caiduo-001,nvr-caiduo,1,2号通道中段,,false,false
cam-nvr-caiduo-002,nvr-caiduo,2,铝板切料,,true,true
cam-nvr-caiduo-003,nvr-caiduo,3,铝排切料,,false,false
cam-nvr-caiduo-004,nvr-caiduo,4,铝板仓门前,,false,false
cam-nvr-caiduo-005,nvr-caiduo,5,3号出货门,,true,true
cam-nvr-caiduo-006,nvr-caiduo,6,出货通道,,false,false
cam-nvr-caiduo-007,nvr-caiduo,7,中间过道前2台,,true,true
cam-nvr-caiduo-008,nvr-caiduo,8,3号通道,,false,false
cam-nvr-caiduo-009,nvr-caiduo,9,3号出货门2,,true,true
cam-nvr-caiduo-010,nvr-caiduo,10,双头铣1,,true,true
cam-nvr-caiduo-011,nvr-caiduo,11,磨床完工侧面,,true,true
cam-nvr-caiduo-012,nvr-caiduo,12,中间过道后3台,,true,true
cam-nvr-caiduo-013,nvr-caiduo,13,1号通道中间,,true,true
cam-nvr-caiduo-014,nvr-caiduo,14,毛板批量1,,false,false
cam-nvr-caiduo-015,nvr-caiduo,15,3号通道锯床1,,true,true
cam-nvr-caiduo-016,nvr-caiduo,16,毛板批量2,,true,true
cam-nvr-caiduo-017,nvr-caiduo,17,磨床2号,,true,true
cam-nvr-caiduo-019,nvr-caiduo,19,磨床1号,,false,false
cam-nvr-caiduo-021,nvr-caiduo,21,散切1号机,,true,true
cam-nvr-caiduo-022,nvr-caiduo,22,铝整板机,,true,true
cam-nvr-caiduo-023,nvr-caiduo,23,散切机台,,true,true
cam-nvr-caiduo-033,nvr-caiduo,33,1号通道锯床,,true,true
cam-nvr-caiduo-034,nvr-caiduo,34,3号出货门3,,true,true
cam-nvr-caiduo-035,nvr-caiduo,35,2号出货门2,,true,true
cam-nvr-caiduo-037,nvr-caiduo,37,Camera 01,,true,true
cam-nvr-caiduo-038,nvr-caiduo,38,磨床刷单区,,true,true
cam-nvr-caiduo-039,nvr-caiduo,39,Camera 01,,true,true
cam-nvr-caiduo-044,nvr-caiduo,44,高速机顶部监控,,false,false
cam-nvr-caiduo-045,nvr-caiduo,45,3号通道锯床2,,true,true
cam-nvr-main-01-001,nvr-main-01,1,石林合,,true,true
cam-nvr-main-01-002,nvr-main-01,2,中通快递架,,true,true
cam-nvr-main-01-003,nvr-main-01,3,入库3,,true,true
cam-nvr-main-01-004,nvr-main-01,4,仓&氧化称数量,,true,true
cam-nvr-main-01-005,nvr-main-01,5,快递打单区,,true,true
cam-nvr-main-01-006,nvr-main-01,6,仓@入库6架区,,true,true
cam-nvr-main-01-007,nvr-main-01,7,打包台,,true,true
cam-nvr-main-01-008,nvr-main-01,8,外发P货架,,true,true
cam-nvr-main-01-009,nvr-main-01,9,仓&QC1桌,,true,true
cam-nvr-main-01-010,nvr-main-01,10,仓出货扫单区2,,true,true
cam-nvr-main-01-011,nvr-main-01,11,品检1,,true,true
cam-nvr-main-01-012,nvr-main-01,12,仓&QC2桌,,true,true
cam-nvr-main-01-013,nvr-main-01,13,仓&成品入库桌,,true,true
cam-nvr-main-01-014,nvr-main-01,14,仓&入库2，3架区,,true,true
cam-nvr-main-01-015,nvr-main-01,15,仓&入库1架区,,true,true
cam-nvr-main-01-016,nvr-main-01,16,外%外发库H架区,,true,true
cam-nvr-main-01-017,nvr-main-01,17,仓&氧化出收货区,,true,true
cam-nvr-main-01-018,nvr-main-01,18,QC区,,true,true
cam-nvr-main-01-019,nvr-main-01,19,顺丰快递架,,true,true
cam-nvr-main-01-020,nvr-main-01,20,仓&外发送货2架,,true,true
cam-nvr-main-01-021,nvr-main-01,21,外%外发区高,,true,true
cam-nvr-main-01-022,nvr-main-01,22,仓&出货扫单区1,,true,true
cam-nvr-main-01-023,nvr-main-01,23,仓&出货扫单区3,,true,true
cam-nvr-main-01-025,nvr-main-01,25,Camera 01,,true,true
cam-nvr-main-01-026,nvr-main-01,26,仓&客诉架过道,,true,true
cam-nvr-main-01-028,nvr-main-01,28,铁皮房车床,,true,true
cam-nvr-main-01-029,nvr-main-01,29,三楼楼梯口,,true,true
cam-nvr-main-01-034,nvr-main-01,34,三楼电梯口,,true,true
cam-nvr-main-01-036,nvr-main-01,36,仓&成品大件区右,,true,true
cam-nvr-main-01-037,nvr-main-01,37,外%外发库E架区,,true,true
cam-nvr-main-01-039,nvr-main-01,39,U钻打孔区,,true,true
cam-nvr-main-01-041,nvr-main-01,41,厂房后门,,true,true
cam-nvr-main-01-042,nvr-main-01,42,外发材料入库架,,true,true
cam-nvr-main-01-043,nvr-main-01,43,仓&打包仓门口,,true,true
cam-nvr-main-01-044,nvr-main-01,44,仓&入库4，5架区,,true,true
cam-nvr-main-01-046,nvr-main-01,46,外%外发区通道,,true,true
cam-nvr-main-01-047,nvr-main-01,47,仓&成品区走道,,true,true
cam-nvr-main-01-048,nvr-main-01,48,阳极分拣区,,true,true
cam-nvr-main-01-049,nvr-main-01,49,简易车床扫单,,true,true
cam-nvr-main-01-050,nvr-main-01,50,仓&打包台,,true,true
cam-nvr-main-01-051,nvr-main-01,51,仓&表面处理收货区,,true,true
cam-nvr-main-01-052,nvr-main-01,52,外%外发库D区,,true,true
cam-nvr-main-01-053,nvr-main-01,53,后加工,,true,true
cam-nvr-main-01-054,nvr-main-01,54,仓&表面处理称重,,true,true
cam-nvr-main-01-055,nvr-main-01,55,仓&打包仓过道,,true,true
cam-nvr-main-01-056,nvr-main-01,56,仓&成品库门口,,true,true
cam-nvr-main-01-057,nvr-main-01,57,仓&客诉架区,,true,true
cam-nvr-main-01-058,nvr-main-01,58,仓&成品大件区左,,true,true
cam-nvr-main-01-059,nvr-main-01,59,后加工称数,,true,true
cam-nvr-main-01-060,nvr-main-01,60,仓&打包仓门口外,,true,true
cam-nvr-main-01-061,nvr-main-01,61,仓&打包仓区,,true,true
cam-nvr-main-01-062,nvr-main-01,62,外%外发收货区,,true,true
cam-nvr-main-01-064,nvr-main-01,64,后门区右,,true,true
cam-nvr-main-02-001,nvr-main-02,1,一楼大门口,,true,true
cam-nvr-main-02-002,nvr-main-02,2,一楼鱼眼1,,true,true
cam-nvr-main-02-003,nvr-main-02,3,一楼快递架,,true,true
cam-nvr-main-02-004,nvr-main-02,4,侧门,,true,true
cam-nvr-main-02-005,nvr-main-02,5,一楼侧门,,true,true
cam-nvr-main-02-006-20260815,nvr-main-02,6,二楼电脑锣,,true,
cam-nvr-main-02-007-20260815,nvr-main-02,7,二楼小办公室,,true,
cam-nvr-main-02-008,nvr-main-02,8,三楼线割扫码,,true,true
cam-nvr-main-02-009,nvr-main-02,9,三楼线割全区,,true,true
cam-nvr-main-02-010,nvr-main-02,10,二楼电脑锣T6,,true,true
cam-nvr-main-02-011-20260818,nvr-main-02,11,尾1仓切铝板,,true,true
